PAULUS, HIERONYMUS 	<PAU, JERONI>	Ad Barcinonem urbem
PAULUS SANCTONINUS [PAULUS DE SANCTONINIS]	<PAOLO SANTONINO>	Itinerarium
PETRARCHA, FRANCISCUS 	<PETRARCA, FRANCESCO>	Topographiam Hibernicam ad Giraldi Barrensis
PETRARCHA, FRANCISCUS	<PETRARCA, FRANCESCO>	Ityneriarum breve de Ianua usque ad Ierusalem et Terram Sanctam (Itinerarium Syriacum)
PETRUS BLESENSIS	<PIERRE DE BLOIS; PIETRO DI BLOIS>	Conquestio de dilatione viae Ierosolimitanae (De Hierosolymitana peregrinatione acceleranda sive De itinere Hierosolymitano)
PETRUS DE DUSBURG	<PETER VON DUSBURG; PIETRO DI DUISBURG>	Chronica terrae Prussiae
PETRUS DE EBULO	<PIETRO DA EBOLI>	De balneis Puteolanis
PETRUS DE PENNIS		Libellus de locis ultramarinis
PETRUS DIACONUS	<PIETRO DIACONO>	De locis sanctis
PHILIPPUS DE ELEEMOSYNA	<FILIPPO DI HARVENG; FILIPPO DI BONNE-ESPÉRANCE>	Historia miraculorum Bernardi in itinere Germanico patratorum
PHILIPPUS DE SLANE HIBERNICUS	<PHILIP DE SLANE; FILIPPO DI SLANE>	Giraldi Cambrensis Libellus de descriptione Hyberniae abbreviatus<anni?>
PICAUDUS, AIMERICUS	<PICAUD, AIMERY>	Iter pro peregrinis ad Compostellam
PIPINUS, FRANCISCUS	<PIPINO, FRANCESCO>	Tractatus de locis Terrae Sanctae anno 1320 visitatis
PICCOLOMINI, AENEAS SILVIUS [PIUS SECUNDUS]	< PICCOLOMINI, ENEA SILVIO [PIO II]>	Cosmographia (Historiae rerum ubique gestarum locorumque descriptio)
PICCOLOMINI, AENEAS SILVIUS [PIUS SECUNDUS]	< PICCOLOMINI, ENEA SILVIO [PIO II]>	De Asia
PICCOLOMINI, AENEAS SILVIUS [PIUS SECUNDUS]	< PICCOLOMINI, ENEA SILVIO [PIO II]>	De Europa
PICCOLOMINI, AENEAS SILVIUS [PIUS SECUNDUS]	< PICCOLOMINI, ENEA SILVIO [PIO II]>	De ritu, situ, moribus et conditione Germaniae descriptio
POLITIANUS, ANGELUS	<POLIZIANO, ANGELO; AMBROGINI, ANGELO>	Odoeporicon
POLONER, IOHANNES		Descriptio Terrae Sanctae
POMPONIUS LAETUS, IULIUS	<POMPONIO LETO, GIULIO>	De regionibus et Urbis vetustatibus descriptio (De antiquitatibus urbis Romae libellus sive Descriptio urbis Romae)
PONTANUS, IOANNES IOVIANUS	<PONTANO, GIOVANNI>	Hendecasyllaborum seu Baiarum libri
PONTANUS, IOANNES IOVIANUS	<PONTANO, GIOVANNI>	Meteororum liber
RADULPHUS DE COGGESHALL		Chronicon Terrae Sanctae
RADULPHUS DE FRAMMELSBERG		Itinerarium in Palestinam, ad montem Sinai et in Aegyptum
RADULPHUS NIGER	<RODOLFO IL NERO; RALPH NIGER>	De re militari et triplici via peregrinationis Ierosolimitanae
REBOLDIS, ANTONIUS DE [ANTONIUS DE CREMONA]	<REBOLDI, ANTONIO DE’; ANTONIO DA CREMONA >	Itinerarium ad Montem Sinai
REBOLDIS, ANTONIUS DE [ANTONIUS DE CREMONA]	<REBOLDI, ANTONIO DE’; ANTONIO DA CREMONA >	Itinerarium ad Sepulcrum Domini
RICHARDUS DE TEMPLO [RICARDUS CANONICUS SANCTAE TRINITATIS LONDONIENSIS]		Itinerarium peregrinorum et gesta regis Ricardi
RICOBALDUS FERRARIENSIS	<RICCOBALDO DA FERRARA>	Liber de locis orbis et insularum et marium
RICOLDUS DE MONTE CRUCIS	<RICCOLDO DA MONTECROCE>	Liber peregrinationis (Itinerarius)
ROGERIUS DE HOVEDEN	<*auctor incertus>	<RUGGERO DI HOVEDEN>	De viis maris
SABELLICUS, MARCUS ANTONIUS	<SABELLICO [COCCIO], MARCANTONIO>	De Venetae urbis situ et vetustate
SAEMUNDARSON NICOLAUS	<NIKULAS DI MUNKATHVERA>	Iter ad loca sancta
SAEWULF		Peregrinatio ad Hierosolymam (De situ Hierusalem sive Relatio de peregrinatione ad Hierosolymam et Terram Sanctam)
